name,year,director,actors,rating,no_of_votes,imdb_link
Warrior,2011,Gavin O'Connor,"Tom Hardy, Nick Nolte",8.2,336393.0,/title/tt1291584/
The Wolf of Wall Street,2013,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill",8.2,795795.0,/title/tt0993846/
V for Vendetta,2005,James McTeigue,"Hugo Weaving, Natalie Portman",8.1,801215.0,/title/tt0434409/
Incendies,2010,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin",8.1,82292.0,/title/tt1255953/
Gran Torino,2008,Clint Eastwood,"Clint Eastwood, Bee Vang",8.1,567341.0,/title/tt1205489/
Tôkyô monogatari,1953,Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama",8.1,27347.0,/title/tt0046438/
The Big Lebowski,1998,Joel Coen,"Jeff Bridges, John Goodman",8.1,544034.0,/title/tt0118715/
The Deer Hunter,1978,Michael Cimino,"Robert De Niro, Christopher Walken",8.1,235081.0,/title/tt0077416/
Star Wars: Episode VII - The Force Awakens,2015,J.J. Abrams,"Daisy Ridley, John Boyega",8.1,584037.0,/title/tt2488496/
Dial M for Murder,1954,Alfred Hitchcock,"Ray Milland, Grace Kelly",8.1,108013.0,/title/tt0046912/
Trainspotting,1996,Danny Boyle,"Ewan McGregor, Ewen Bremner",8.1,474727.0,/title/tt0117951/
Gone with the Wind,1939,Victor Fleming,"Clark Gable, Vivien Leigh",8.1,217593.0,/title/tt0031381/
Fargo,1996,Joel Coen,"William H. Macy, Frances McDormand",8.1,459785.0,/title/tt0116282/
Rebecca,1940,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine",8.1,88492.0,/title/tt0032976/
Cool Hand Luke,1967,Stuart Rosenberg,"Paul Newman, George Kennedy",8.1,121163.0,/title/tt0061512/
Finding Nemo,2003,Andrew Stanton,"Albert Brooks, Ellen DeGeneres",8.1,702769.0,/title/tt0266543/
How to Train Your Dragon,2010,Dean DeBlois,"Jay Baruchel, Gerard Butler",8.1,492068.0,/title/tt0892769/
The Sixth Sense,1999,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment",8.1,712150.0,/title/tt0167404/
The Thing,1982,John Carpenter,"Kurt Russell, Wilford Brimley",8.1,261711.0,/title/tt0084787/
No Country for Old Men,2007,Ethan Coen,"Tommy Lee Jones, Javier Bardem",8.1,621099.0,/title/tt0477348/
Into the Wild,2007,Sean Penn,"Emile Hirsch, Vince Vaughn",8.1,432023.0,/title/tt0758758/
Mary and Max,2009,Adam Elliot,"Toni Collette, Philip Seymour Hoffman",8.1,120995.0,/title/tt0978762/
Kill Bill: Vol. 1,2003,Quentin Tarantino,"Uma Thurman, David Carradine",8.1,744434.0,/title/tt0266697/
Gone Girl,2014,David Fincher,"Ben Affleck, Rosamund Pike",8.1,581467.0,/title/tt2267998/
The Message,1976,Moustapha Akkad,"Anthony Quinn, Irene Papas",8.1,31123.0,/title/tt0074896/
Idi i smotri,1985,Elem Klimov,"Aleksey Kravchenko, Olga Mironova",8.1,26465.0,/title/tt0091251/
It Happened One Night,1934,Frank Capra,"Clark Gable, Claudette Colbert",8.1,65786.0,/title/tt0025316/
There Will Be Blood,2007,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano",8.1,378228.0,/title/tt0469494/
Life of Brian,1979,Terry Jones,"Graham Chapman, John Cleese",8.1,275518.0,/title/tt0079470/
Rush,2013,Ron Howard,"Daniel Brühl, Chris Hemsworth",8.1,317415.0,/title/tt1979320/
Le notti di Cabiria,1957,Federico Fellini,"Giulietta Masina, François Périer",8.1,26511.0,/title/tt0050783/
Hotel Rwanda,2004,Terry George,"Don Cheadle, Sophie Okonedo",8.1,267327.0,/title/tt0395169/
Platoon,1986,Oliver Stone,"Charlie Sheen, Tom Berenger",8.1,294694.0,/title/tt0091763/
Le salaire de la peur,1953,Henri-Georges Clouzot,"Yves Montand, Charles Vanel",8.1,35871.0,/title/tt0046268/
Network,1976,Sidney Lumet,"Faye Dunaway, William Holden",8.1,104828.0,/title/tt0074958/
Spotlight,2015,Tom McCarthy,"Mark Ruffalo, Michael Keaton",8.1,209893.0,/title/tt1895587/
The Maltese Falcon,1941,John Huston,"Humphrey Bogart, Mary Astor",8.1,114549.0,/title/tt0033870/
Shutter Island,2010,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer",8.1,797876.0,/title/tt1130884/
Butch Cassidy and the Sundance Kid,1969,George Roy Hill,"Paul Newman, Robert Redford",8.1,153955.0,/title/tt0064115/
Mad Max: Fury Road,2015,George Miller,"Tom Hardy, Charlize Theron",8.1,568559.0,/title/tt1392190/
Stand by Me,1986,Rob Reiner,"Wil Wheaton, River Phoenix",8.1,275673.0,/title/tt0092005/
In the Name of the Father,1993,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite",8.1,111399.0,/title/tt0107207/
Les quatre cents coups,1959,François Truffaut,"Jean-Pierre Léaud, Albert Rémy",8.1,71156.0,/title/tt0053198/
Persona,1966,Ingmar Bergman,"Bibi Andersson, Liv Ullmann",8.1,62756.0,/title/tt0060827/
12 Years a Slave,2013,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams",8.1,447195.0,/title/tt2024544/
Relatos salvajes,2014,Damián Szifrón,"Darío Grandinetti, María Marull",8.1,93491.0,/title/tt3011894/
The Grand Budapest Hotel,2014,Wes Anderson,"Ralph Fiennes, F. Murray Abraham",8.1,485704.0,/title/tt2278388/
Ben-Hur,1959,William Wyler,"Charlton Heston, Jack Hawkins",8.1,163402.0,/title/tt0052618/
Amores perros,2000,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal",8.1,175312.0,/title/tt0245712/
Million Dollar Baby,2004,Clint Eastwood,"Hilary Swank, Clint Eastwood",8.1,487687.0,/title/tt0405159/
The Princess Bride,1987,Rob Reiner,"Cary Elwes, Mandy Patinkin",8.1,297415.0,/title/tt0093779/
Zootopia,2016,Byron Howard,"Ginnifer Goodwin, Jason Bateman",8.1,199937.0,/title/tt2948356/
Jurassic Park,1993,Steven Spielberg,"Sam Neill, Laura Dern",8.1,622093.0,/title/tt0107290/
Hachi: A Dog's Tale,2009,Lasse Hallström,"Richard Gere, Joan Allen",8.1,159099.0,/title/tt1028532/
Touch of Evil,1958,Orson Welles,"Charlton Heston, Orson Welles",8.1,73749.0,/title/tt0052311/
Kaze no tani no Naushika,1984,Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura",8.1,97830.0,/title/tt0087544/
The Grapes of Wrath,1940,John Ford,"Henry Fonda, Jane Darwell",8.1,63970.0,/title/tt0032551/
Stalker,1979,Andrei Tarkovsky,"Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.0,69478.0,/title/tt0079944/
Annie Hall,1977,Woody Allen,"Woody Allen, Diane Keaton",8.0,195500.0,/title/tt0075686/
Salinui chueok,2003,Joon-ho Bong,"Kang-ho Song, Sang-kyung Kim",8.0,68603.0,/title/tt0353969/
Before Sunrise,1995,Richard Linklater,"Ethan Hawke, Julie Delpy",8.0,186097.0,/title/tt0112471/
The Truman Show,1998,Peter Weir,"Jim Carrey, Ed Harris",8.0,677230.0,/title/tt0120382/
The Bourne Ultimatum,2007,Paul Greengrass,"Matt Damon, Edgar Ramírez",8.0,498470.0,/title/tt0440963/
Gandhi,1982,Richard Attenborough,"Ben Kingsley, John Gielgud",8.0,173663.0,/title/tt0083987/
Les diaboliques,1955,Henri-Georges Clouzot,"Simone Signoret, Véra Clouzot",8.0,42634.0,/title/tt0046911/
Rocky,1976,John G. Avildsen,"Sylvester Stallone, Talia Shire",8.0,380197.0,/title/tt0075148/
Donnie Darko,2001,Richard Kelly,"Jake Gyllenhaal, Jena Malone",8.0,587287.0,/title/tt0246578/
8½,1963,Federico Fellini,"Marcello Mastroianni, Anouk Aimée",8.0,79539.0,/title/tt0056801/
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,"Daniel Radcliffe, Emma Watson",8.0,550219.0,/title/tt1201607/
"Monsters, Inc.",2001,Pete Docter,"Billy Crystal, John Goodman",8.0,594075.0,/title/tt0198781/
The Wizard of Oz,1939,Victor Fleming,"Judy Garland, Frank Morgan",8.0,294776.0,/title/tt0032138/
The Terminator,1984,James Cameron,"Arnold Schwarzenegger, Linda Hamilton",8.0,607387.0,/title/tt0088247/
Twelve Monkeys,1995,Terry Gilliam,"Bruce Willis, Madeleine Stowe",8.0,467483.0,/title/tt0114746/
Groundhog Day,1993,Harold Ramis,"Bill Murray, Andie MacDowell",8.0,442604.0,/title/tt0107048/
The Best Years of Our Lives,1946,William Wyler,"Fredric March, Dana Andrews",8.0,40788.0,/title/tt0036868/
Jaws,1975,Steven Spielberg,"Roy Scheider, Robert Shaw",8.0,417624.0,/title/tt0073195/
Mou gaan dou,2002,Wai-Keung Lau,"Andy Lau, Tony Chiu Wai Leung",8.0,92753.0,/title/tt0338564/
Prisoners,2013,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal",8.0,391368.0,/title/tt1392214/
Strangers on a Train,1951,Alfred Hitchcock,"Farley Granger, Robert Walker",8.0,97621.0,/title/tt0044079/
